Configuration;CONFIG_ARM_CORTEX_A9;CONFIG_CAN_ARM_CPU_CORTEX_A9;CONFIG_PF_SEAD3;CONFIG_PF_BAIKAL_T;CONFIG_REGPARM3;CONFIG_IA32;CONFIG_PF_UX;CONFIG_PF_XSCALE;CONFIG_PF_PC;CONFIG_HAS_WATCHDOG_OPTION;CONFIG_PF_SUNXI;CONFIG_PF_SA1100;CONFIG_CPU_MIPS32_R2;CONFIG_MIPS;CONFIG_PF_KIRKWOOD;CONFIG_PF_ZYNQ;CONFIG_IA32_P3;CONFIG_IA32_K8;CONFIG_IA32_486;CONFIG_IA32_ATOM;CONFIG_IA32_686;CONFIG_PF_OMAP3_OMAP35XEVM;CONFIG_CAN_ARM_CPU_CORTEX_A8;CONFIG_PF_EXYNOS4;CONFIG_PF_ARMADA38X;CONFIG_PF_REALVIEW_VEXPRESS;CONFIG_PF_TEGRA;CONFIG_PF_REALVIEW_EB;CONFIG_PF_IMX_6;CONFIG_PF_REALVIEW_PBX;CONFIG_PF_OMAP4_PANDABOARD;CONFIG_PF_OMAP;CONFIG_PF_REALVIEW;CONFIG_PF_IMX;CONFIG_PF_EXYNOS;CONFIG_CAN_ARM_CACHE_L2CXX0;CONFIG_ARM_1136;CONFIG_ARM_CORTEX_A7;CONFIG_PF_MPC52XX;CONFIG_PPC32;CONFIG_SPARC;CONFIG_ARM;CONFIG_ONE_SHOT;CONFIG_SCHED_APIC;CONFIG_SCHED_FP_WFQ;CONFIG_SCHED_FIXED_PRIO;CONFIG_CPU_MIPS64_R6;CONFIG_CPU_MIPSR6;CONFIG_KERNELVERSION;CONFIG_PF_MALTA;CONFIG_PF_OMAP3_BEAGLEBOARD;CONFIG_IA32_586;CONFIG_AMD64;CONFIG_IA32_P4;CONFIG_PF_INTEGRATOR;CONFIG_ARM_920T;CONFIG_ARM_CORTEX_A8;CONFIG_ARM_PXA;CONFIG_PF_S3C2410;CONFIG_PF_QEMU;CONFIG_PF_REALVIEW_PB11MP;CONFIG_CAN_ARM_CPU_MPCORE;CONFIG_JDB_DISASM;CONFIG_HAS_JDB_DISASM_OPTION;CONFIG_JDB;CONFIG_CPU_MIPS32_R6;CONFIG_LIGHTWEIGHT_BARRIERS;CONFIG_PF_IMX_21;CONFIG_CAN_ARM_CPU_926;CONFIG_SCHED_HPET;CONFIG_SCHED_PIT;CONFIG_SCHED_RTC;CONFIG_MP;CONFIG_PF_LS1021A;CONFIG_HAVE_ARM_SECMONIF_MC;CONFIG_ARM_EM_NS;CONFIG_ARM_SECMONIF_NONE;CONFIG_ARM_SECMONIF_MC;CONFIG_ARM_LPAE;CONFIG_ARM_CORTEX_A15;CONFIG_CPU_VIRT;CONFIG_ARM_1176;CONFIG_ARM_926;CONFIG_SYNC_TSC;CONFIG_DEFAULT_ARM_EM_NS;CONFIG_PF_EXYNOS5;CONFIG_PF_OMAP5_5432EVM;CONFIG_PF_EXYNOS4_4210;CONFIG_PF_EXYNOS4_4412;CONFIG_IA32_PM;CONFIG_AMD64_K8;CONFIG_IA32_K10;CONFIG_WEAK_ORDERING;CONFIG_IA32_CORE_I;CONFIG_BIT64;CONFIG_CPU_MIPS64_R2;CONFIG_CAN_ARM_CPU_CORTEX_A15;CONFIG_IA32_CORE2;CONFIG_IA32_K7;CONFIG_AMD64_CORE2;CONFIG_AMD64_CORE_I;CONFIG_PF_CI20;CONFIG_ARM_MPCORE;CONFIG_HAS_IOMMU_OPTION;CONFIG_HAS_WEAK_ORDERING_OPTION;CONFIG_ARM_EM_STD;CONFIG_PF_MALTA_MP;CONFIG_CAN_MIPS_VZ_ASE;CONFIG_PF_EXYNOS_TIMER_MCT;CONFIG_PF_EXYNOS_TIMER_PWM;CONFIG_PF_EXYNOS_TIMER_GEN;CONFIG_PF_EXYNOS_TIMER_MP;CONFIG_CONTEXT_4K;CONFIG_IA32_P2;CONFIG_PF_IMX_6UL;CONFIG_ARM_V7;CONFIG_PF_EXYNOS5_5410;CONFIG_SYS_HAS_CPU_MIPS32_R6;CONFIG_AMD64_K10;CONFIG_AMD64_ATOM;CONFIG_ARM_SA;CONFIG_ARM_V6;CONFIG_PF_BCM2835;CONFIG_PF_TEGRA3;CONFIG_FPU;CONFIG_HAS_FPU_OPTION;CONFIG_PF_EXYNOS5_5250;CONFIG_IA32_K6;CONFIG_CPU_MIPSR2;CONFIG_PF_OMAP3_AM33XX;CONFIG_PF_LEON3;CONFIG_HAS_LIGHTWEIGHT_BARRIERS_OPTION;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x2;CONFIG_ARM_CORTEX_A5;CONFIG_HAS_MP_OPTION;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x7;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x6;CONFIG_MIPS_CPU_FREQUENCY;CONFIG_ARM_V6PLUS;CONFIG_HAS_VIRT_OBJ_SPACE_OPTION;CONFIG_ARM_1176_CACHE_ALIAS_FIX;CONFIG_PF_IMX_35;CONFIG_ARM_CPU_ERRATA;CONFIG_CAN_ARM_CPU_1136;CONFIG_SYS_HAS_CPU_MIPS64_R6;CONFIG_SERIAL;CONFIG_HAS_SERIAL_OPTION;CONFIG_CAN_ARM_CPU_CORTEX_A7;CONFIG_JDB_MISC;CONFIG_SYS_HAS_CPU_MIPS32_R2;CONFIG_SYS_HAS_CPU_MIPS64_R2;CONFIG_PF_REALVIEW_VEXPRESS_A9;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x0;CONFIG_PF_REALVIEW_VEXPRESS_A15;CONFIG_INCLUDE_SPARC;CONFIG_BIT32;CONFIG_PF_IMX_51;CONFIG_PF_MALTA_UP;CONFIG_PF_IMX_28;CONFIG_WATCHDOG;CONFIG_DISABLE_VIRT_OBJ_SPACE;CONFIG_VIRT_OBJ_SPACE;CONFIG_CPU_SUSPEND;CONFIG_PF_EXYNOS_EXTGIC;CONFIG_DEBUG_KERNEL_PAGE_FAULTS;CONFIG_PF_EXYNOS_UART_NR;CONFIG_SCHED_WFQ;CONFIG_EXPERIMENTAL;CONFIG_CAN_ARM_CPU_1176;CONFIG_JDB_LOGGING;CONFIG_UX_NET;CONFIG_CXX;CONFIG_PF_REALVIEW_RAM_PHYS_BASE_0x8;CONFIG_ARM_ALIGNMENT_CHECK;CONFIG_ARM_EM_TZ;CONFIG_ARM_CACHE_L2CXX0;CONFIG_ARM_ENABLE_SWP;CONFIG_PF_IMX_6_TIMER_EPIT;CONFIG_HAVE_ARM_SECMONIF_NONE;CONFIG_HAS_CPU_VIRT;CONFIG_CAN_ARM_CPU_XSCALE;CONFIG_PF_IMX_6_TIMER_MPTIMER;CONFIG_IOMMU;CONFIG_CONTEXT_8K;CONFIG_CAN_ARM_CPU_SA1100;CONFIG_POWERSAVE_GETCHAR;CONFIG_HAS_JDB_GZIP_OPTION;CONFIG_CPU_MIPS64;CONFIG_CAN_ARM_CPU_CORTEX_A5;CONFIG_PF_EXYNOS_UART_NATIVE;CONFIG_SLOW_RTC;CONFIG_WARN_WARNING;CONFIG_WARN_NONE;CONFIG_WARN_ANY;CONFIG_PERF_CNT;CONFIG_PPC32_603e;CONFIG_LEON3;CONFIG_MP_MAX_CPUS;CONFIG_PF_TEGRA2;CONFIG_CAN_ARM_CPU_920T;CONFIG_PF_ZYNQ_UART_NR_0;CONFIG_PF_ZYNQ_UART_NR_1;CONFIG_BIG_ENDIAN;CONFIG_CPU_MIPS32;CONFIG_JDB_GZIP;CONFIG_WORKAROUND_AMD_FPU_LEAK;CONFIG_LABEL;CONFIG_BEFORE_IRET_SANITY;CONFIG_HOST_CC;CONFIG_VMEM_ALLOC_TEST;CONFIG_MIPS_PAGE_SIZE_4K;CONFIG_PF_TEGRA_TIMER_TMR;CONFIG_PF_TEGRA_TIMER_MP;CONFIG_UX_CON;CONFIG_MIPS_PAGE_SIZE_16K;CONFIG_INCLUDE_PPC32;CONFIG_HOST_CXX;CONFIG_ABI_VF;CONFIG_IRQ_SPINNER;CONFIG_GSTABS;CONFIG_PF_EXYNOS_PKG_IDS;CONFIG_JDB_ACCOUNTING;CONFIG_CC;CONFIG_NO_FRAME_PTR;CONFIG_STACK_DEPTH;CONFIG_NDEBUG;CONFIG_INLINE;CONFIG_MAINTAINER_MODE;CONFIG_LIST_ALLOC_SANITY;CONFIG_FINE_GRAINED_CPUTIME
94;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+;+;+;+;-;-;-;+;+;-;+;+;-;-;-
95;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;+;+;-;+;-;+;-;+
96;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;+;-;-;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+;-;-;+;-;+;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;-;+;+;-;-;-;-;+;-;+;-;-;+;+;-
97;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;+;-;-;-;+;+;+;-;+;+;+;+;-
98;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;-;-;+;+;+;-;-
99;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;+;+;-;+;+
100;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;+;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;+;+;-;+;-;-;+
101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;-;+;+;-;-;-;+;-;+;-;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;+;+;+;+;-;+;+;+;+;+
102;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;-;-;-;-;+;-;-
103;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;+;-;+;-;-;+;+
104;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;+;+;-;-;-;-;+;+;+
105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;+;+;+;-;-;+;+;+;+
106;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;+;-;-;-;-;-;+;+;-;-;-;+;-;+;-;-;-;-;+;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;-;-;-;+;-
107;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;+;+;+;-;+;-;-;-
108;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;+;-;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-
109;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;-;-;+;+;+;+;-;+;-;+;-
110;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;+;-;-;+;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;+;-;-;+;+;-;-;+
111;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;+;+;+;-;-;-;-;-;-;+;+;+;+;-;-;+;+;-;+;+;+;-;+;+
112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;+;+;-;+;+;+;-;-
113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;+;+;+;-;+;+;-;-;-
114;-;-;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;-;-;+;+;+;+;-;-;-;-;+;-;-;+;-;+;+;-
